path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\live_run_20260626_130546.jsonl,743,2026-06-26T13:05:47.179272+00:00,True,1,0
logs\live_run_20260626_131452.jsonl,743,2026-06-26T13:14:52.941934+00:00,True,1,0
logs\live_run_20260626_132003.jsonl,743,2026-06-26T13:20:03.781235+00:00,True,1,0
logs\live_run_20260626_132200.jsonl,743,2026-06-26T13:22:00.526541+00:00,True,1,0
logs\live_run_20260626_132937.jsonl,743,2026-06-26T13:29:38.100921+00:00,True,1,0
logs\live_run_20260626_133343.jsonl,743,2026-06-26T13:33:44.319980+00:00,True,1,0
logs\live_run_20260626_133803.jsonl,743,2026-06-26T13:38:04.414217+00:00,True,1,0
logs\live_run_20260626_135714.jsonl,744,2026-06-26T13:57:15.506723+00:00,True,1,0
logs\live_run_20260626_140604.jsonl,744,2026-06-26T14:06:05.592366+00:00,True,1,0
logs\live_run_20260626_140904.jsonl,744,2026-06-26T14:09:04.742187+00:00,True,1,0
logs\live_run_20260626_141022.jsonl,743,2026-06-26T14:10:23.073848+00:00,True,1,0
logs\live_run_20260626_141641.jsonl,743,2026-06-26T14:16:42.115858+00:00,True,1,0
logs\live_run_20260626_141947.jsonl,743,2026-06-26T14:19:48.718387+00:00,True,1,0
logs\live_run_20260626_142141.jsonl,743,2026-06-26T14:21:42.764725+00:00,True,1,0
logs\live_run_20260626_142330.jsonl,742,2026-06-26T14:23:31.073592+00:00,True,1,0
logs\live_run_20260626_142502.jsonl,743,2026-06-26T14:25:03.323398+00:00,True,1,0
logs\live_run_20260626_143132.jsonl,743,2026-06-26T14:31:33.754147+00:00,True,1,0
logs\live_run_20260626_143331.jsonl,743,2026-06-26T14:33:32.620081+00:00,True,1,0
logs\live_run_20260626_144926.jsonl,743,2026-06-26T14:49:26.749160+00:00,True,1,0
logs\live_run_20260626_145707.jsonl,744,2026-06-26T14:57:08.557686+00:00,True,1,0
logs\live_run_20260626_151033.jsonl,744,2026-06-26T15:10:34.705343+00:00,True,1,0
logs\live_run_20260626_151701.jsonl,744,2026-06-26T15:17:02.397926+00:00,True,1,0
logs\live_run_20260626_152523.jsonl,744,2026-06-26T15:25:24.378489+00:00,True,1,0
logs\live_run_20260626_152626.jsonl,744,2026-06-26T15:26:27.068134+00:00,True,1,0
logs\live_run_20260626_153014.jsonl,744,2026-06-26T15:30:15.129666+00:00,True,1,0
logs\live_run_20260626_153339.jsonl,744,2026-06-26T15:33:40.105081+00:00,True,1,0
