ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,time_setup_iso,time_done_iso,time_setup_msc_iso,time_done_msc_iso
1042091,1782495464,1782495464861,1782495464,1782495464876,0,0,0,1,4,10181,1042091,0,3,0.5,0.0,0.0,0.0,0.0,1.32054,0.0,GBPUSD,profit_harvester,3LJ7IX2U7ZUMO,2026-06-26T17:37:44+00:00,2026-06-26T17:37:44+00:00,2026-06-26T17:37:44.861000+00:00,2026-06-26T17:37:44.876000+00:00
1042973,1782495585,1782495585325,1782495585,1782495585336,0,1,0,1,4,10181,1042091,0,3,0.5,0.0,0.0,0.0,0.0,1.32065,0.0,GBPUSD,profit_harvester,3LJ7J2L2AUGE4,2026-06-26T17:39:45+00:00,2026-06-26T17:39:45+00:00,2026-06-26T17:39:45.325000+00:00,2026-06-26T17:39:45.336000+00:00
1065834,1782498070,1782498070667,1782498070,1782498070680,0,0,0,1,4,10181,1065834,0,3,0.5,0.0,0.0,0.0,0.0,1.32034,0.0,GBPUSD,profit_harvester,3LJ7LCVPAAZCE,2026-06-26T18:21:10+00:00,2026-06-26T18:21:10+00:00,2026-06-26T18:21:10.667000+00:00,2026-06-26T18:21:10.680000+00:00
1065974,1782498108,1782498108750,1782498108,1782498108763,0,1,0,1,4,10181,1065834,0,3,0.5,0.0,0.0,0.0,0.0,1.32046,0.0,GBPUSD,profit_harvester,3LJ7LDZ67ZRB5,2026-06-26T18:21:48+00:00,2026-06-26T18:21:48+00:00,2026-06-26T18:21:48.750000+00:00,2026-06-26T18:21:48.763000+00:00
1070348,1782498704,1782498704134,1782498704,1782498704147,0,0,0,1,4,10181,1070348,0,3,0.5,0.0,0.0,0.0,0.0,1.32016,0.0,GBPUSD,profit_harvester,3LJ7LVDNZMPJL,2026-06-26T18:31:44+00:00,2026-06-26T18:31:44+00:00,2026-06-26T18:31:44.134000+00:00,2026-06-26T18:31:44.147000+00:00
1070488,1782498731,1782498731749,1782498731,1782498731759,0,0,0,1,4,10181,1070488,0,3,0.1,0.0,0.0,0.0,0.0,4077.545,0.0,XAUUSD,profit_harvester,3LJ7LW5EY2OVV,2026-06-26T18:32:11+00:00,2026-06-26T18:32:11+00:00,2026-06-26T18:32:11.749000+00:00,2026-06-26T18:32:11.759000+00:00
1070749,1782498781,1782498781486,1782498781,1782498781498,0,1,0,1,4,10181,1070488,0,3,0.1,0.0,0.0,0.0,0.0,4078.075,0.0,XAUUSD,profit_harvester,3LJ7LXLPBI2DV,2026-06-26T18:33:01+00:00,2026-06-26T18:33:01+00:00,2026-06-26T18:33:01.486000+00:00,2026-06-26T18:33:01.498000+00:00
1073255,1782499082,1782499082321,1782499082,1782499082347,0,0,0,1,4,10181,1073255,0,3,0.1,0.0,0.0,0.0,0.0,4076.175,0.0,XAUUSD,profit_harvester,3LJ7MADUVPINR,2026-06-26T18:38:02+00:00,2026-06-26T18:38:02+00:00,2026-06-26T18:38:02.321000+00:00,2026-06-26T18:38:02.347000+00:00
1077237,1782499351,1782499351431,1782499351,1782499351444,0,1,0,1,4,10181,1073255,0,3,0.1,0.0,0.0,0.0,0.0,4076.81,0.0,XAUUSD,profit_harvester,3LJ7MI6IXZRBD,2026-06-26T18:42:31+00:00,2026-06-26T18:42:31+00:00,2026-06-26T18:42:31.431000+00:00,2026-06-26T18:42:31.444000+00:00
1077640,1782499420,1782499420008,1782499420,1782499420021,0,1,0,1,4,10181,1070348,0,3,0.5,0.0,0.0,0.0,0.0,1.32028,0.0,GBPUSD,profit_harvester,3LJ7MK6EQKWF2,2026-06-26T18:43:40+00:00,2026-06-26T18:43:40+00:00,2026-06-26T18:43:40.008000+00:00,2026-06-26T18:43:40.021000+00:00
1078523,1782499651,1782499651879,1782499651,1782499651892,0,0,0,1,4,10181,1078523,0,3,0.1,0.0,0.0,0.0,0.0,4075.295,0.0,XAUUSD,profit_harvester,3LJ7MQWD2Y6U4,2026-06-26T18:47:31+00:00,2026-06-26T18:47:31+00:00,2026-06-26T18:47:31.879000+00:00,2026-06-26T18:47:31.892000+00:00
1079948,1782499758,1782499758504,1782499758,1782499758516,0,1,0,1,4,10181,1078523,0,3,0.1,0.0,0.0,0.0,0.0,4075.785,0.0,XAUUSD,profit_harvester,3LJ7MTZMOEROU,2026-06-26T18:49:18+00:00,2026-06-26T18:49:18+00:00,2026-06-26T18:49:18.504000+00:00,2026-06-26T18:49:18.516000+00:00
1084486,1782500059,1782500059290,1782500059,1782500059302,0,0,0,1,4,10181,1084486,0,3,0.1,0.0,0.0,0.0,0.0,4074.889,0.0,XAUUSD,profit_harvester,3LJ7N4RQTEEMM,2026-06-26T18:54:19+00:00,2026-06-26T18:54:19+00:00,2026-06-26T18:54:19.290000+00:00,2026-06-26T18:54:19.302000+00:00
1084657,1782500094,1782500094115,1782500094,1782500094129,0,1,0,1,4,10181,1084486,0,3,0.1,0.0,0.0,0.0,0.0,4075.39,0.0,XAUUSD,profit_harvester,3LJ7N5S6PG7JW,2026-06-26T18:54:54+00:00,2026-06-26T18:54:54+00:00,2026-06-26T18:54:54.115000+00:00,2026-06-26T18:54:54.129000+00:00
1085970,1782500325,1782500325092,1782500325,1782500325107,0,0,0,1,4,10181,1085970,0,3,0.5,0.0,0.0,0.0,0.0,1.31994,0.0,GBPUSD,profit_harvester,3LJ7NEJCFEHJ2,2026-06-26T18:58:45+00:00,2026-06-26T18:58:45+00:00,2026-06-26T18:58:45.092000+00:00,2026-06-26T18:58:45.107000+00:00
1086082,1782500350,1782500350584,1782500350,1782500350594,0,1,0,1,4,10181,1085970,0,3,0.5,0.0,0.0,0.0,0.0,1.32004,0.0,GBPUSD,profit_harvester,3LJ7NFAZZGDTK,2026-06-26T18:59:10+00:00,2026-06-26T18:59:10+00:00,2026-06-26T18:59:10.584000+00:00,2026-06-26T18:59:10.594000+00:00
